ddr19240209sl	ddr19240209sl
ddr19241030fan	ddr19241030fan
ddr19260202slb	ddr19260202slb
ddr19260407slb	ddr19260407slb
ddr192605lv	ddr19260500lv
ddr192606cm	ddr19260600cm
ddr19260710sl	ddr19260710sl
ddr19261113sl	ddr19261113sl
ddr19270216fan	ddr19270216fan
ddr192704werk	ddr19270400werk
ddr1927neuch	ddr19270000neuch
ddr19280324nsal	ddr19280324nsal
ddr192812ca	ddr19281200ca
ddr19290715qal	ddr19290715qal
ddr193004ca	ddr19300400ca
ddr19300501ajd	ddr19300501ajd
ddr193007rde	ddr19300700rde
ddr19320416jp	ddr19320416jp
ddr19320515plans	ddr19320515plans
ddr19320615plans	ddr19320615plans
ddr19330215eur	ddr19330215eur
ddr193305rsec	ddr19330500rsec
ddr193312rviv	ddr19331200rviv
ddr19331204mom	ddr19331204mom
ddr193401commune	ddr19340200commune
ddr1934sk	ddr19340000sk
ddr193406cs	ddr19340600cs
ddr193407christsoc	ddr19340800christsoc
ddr193411rxx	ddr19341100rxx
ddr193503herm	ddr19350300herm
ddr193504blon	ddr19350400blon
ddr193505commune	ddr19350500commune
ddr19350715blon	ddr19350715blon
ddr19351115ven	ddr19351115ven
ddr1936rph	ddr19370000rph
ddr193601herm	ddr19360100herm
ddr1936brea	ddr19360000brea
ddr193612cs	ddr19361200cs
ddr19370130flech	ddr19370130flech
ddr19370305anl	ddr19370305anl
ddr19370313anl	ddr19370313anl
ddr19370320anl	ddr19370320anl
ddr19370410anl	ddr19370410anl
ddr19370415mes	ddr19370415mes
ddr19370417anl	ddr19370417anl
ddr1937lsa	ddr19370000lsa
ddr193705cs	ddr19370600cs
ddr19370725rl	ddr19370725rl
ddr19370815journ	ddr19370815journ
ddr1937cc	ddr19370000cc
ddr1937lj	ddr19370000lj
ddr193712bsfp	ddr19371200bsfp
ddr19380115suir	ddr19380115suir
ddr19380220jj	ddr19380220jj
ddr193804ex	ddr19380400ex
ddr193806fcz	ddr19380600fcz
ddr193806nrh	ddr19380600nrh
ddr19380610combatrif	ddr19380610combatrif
ddr19381028flech	ddr19381028flech
ddr193811fcz	ddr19381100fcz
ddr19381120cce	ddr19381120cce
ddr1939ie	ddr19390000ie
ddr1939baaeun	ddr19390000baaeun
ddr19390111cand	ddr19390111cand
ddr19390224hebdtp	ddr19390224hebdtp
ddr193906volon	ddr19390600volon
ddr19390708patsui	ddr19390708patsui
ddr19390714trifr	ddr19390714trifr
ddr19391103radio	ddr19391103radio
ddr193912dac	ddr19391200dac
ddr1939sen	ddr19390000sen
ddr19391225fcoul	ddr19391225fcoul
ddr194001dac	ddr19400100dac
ddr19400120coop	ddr19400120coop
ddr19400224coop	ddr19400224coop
ddr19400302coop	ddr19400302coop
ddr19400309coop	ddr19400309coop
ddr19400316coop	ddr19400316coop
ddr194004dac	ddr19400400dac
ddr194004fcoul	ddr19400400fcoul
ddr194006nsr	ddr19400600nsr
ddr1940sonst	ddr19400800sonst
ddr194008shs	ddr19400800shs
ddr19400801semvd	ddr19400801semvd
ddr19400823curi	ddr19400823curi
ddr19400913ess	ddr19400913ess
ddr1940esr	ddr19400000esr
ddr1940nl	ddr19400000nl
ddr1941hgr	ddr19410000hgr
ddr19411001lf	ddr19411001lf
ddr19420304jse	ddr19420304jse
ddr194303vvv_p69	ddr19430300vvv_p0069
ddr194303vvv_p71	ddr19430300vvv_p0071
ddr194306font	ddr19430700font
ddr194309rpf	ddr19430900rpf
ddr1944ren	ddr19450000ren
ddr1944hems	ddr19440300hems
ddr194402font	ddr19440200font
ddr194410ml	ddr19441000ml
ddr194410arche	ddr19441100arche
ddr1945hems	ddr19450000hems
ddr1946fcoul	ddr19460000fcoul
ddr194601csa	ddr19460100csa
ddr19460330figlitt	ddr19460330figlitt
ddr19460330plv	ddr19460330plv
ddr19460420plv	ddr19460420plv
ddr19460427plv	ddr19460427plv
ddr19460504plv	ddr19460504plv
ddr19460516serv	ddr19460516serv
ddr19460516ill	ddr19460516ill
ddr19460530serv	ddr19460530serv
ddr19460604mondes	ddr19460604mondes
ddr194606font	ddr19460600font
ddr19460719hebtp	ddr19460719hebtp
ddr19460824figlitt	ddr19460824figlitt
ddr19460921figlitt	ddr19460921figlitt
ddr194608suic	ddr19460900suic
ddr194610font	ddr19461000font
ddr1946hrb	ddr19460000hrb
ddr19461219ill	ddr19461219ill
ddr1947tho	ddr19470000tho
ddr194711ao	ddr19471100ao
ddr1947eerig	ddr19470000eerig
ddr194701nef	ddr19470100nef
ddr194703font	ddr19470300font
ddr1947cff	ddr19470000cff
ddr1947ccs	ddr19470000ccs
ddr19470607sdm	ddr19470607sdm
ddr19470809pp	ddr19470809pp
ddr19470830trige	ddr19470831trige
ddr194710nef	ddr19471000nef
ddr19471108figlitt	ddr19471108figlitt
ddr19471220sdm	ddr19471220sdm
ddr194801paru	ddr19480100paru
ddr1948cpl	ddr19480100cpl
ddr19480109intrans	ddr19480109intrans
ddr1948prs	ddr19480000prs
ddr1948ds	ddr19480000ds
ddr194806fed	ddr19480600fed
ddr19481225rpf	ddr19481225rpf
ddr194902fed	ddr19490200fed
ddr1949cmn	ddr19490700cmn
ddr1949clib	ddr19490000clib
ddr19490701radio	ddr19490701radio
ddr19490707curi	ddr19490707curi
ddr1950cpl	ddr19500900cpl
ddr195001fed	ddr19500100fed
ddr195004les	ddr19500400les
ddr19500805franind	ddr19500805franind
ddr1950pue	ddr19500000pue
ddr195012bal	ddr19510100bal
ddr195103neur	ddr19510300neur
ddr195110cls	ddr19511000cls
ddr1952rs	ddr19520000rs
ddr195201tr	ddr19520100tr
ddr195203je	ddr19520300je
ddr195210fce	ddr19521000fce
ddr19521114suis	ddr19521114suis
ddr19521205qrp	ddr19521205qrp
ddr1953psde	ddr19530000psde
ddr1953rk	ddr19530000rk
ddr195301ar	ddr19530100ar
ddr195306pax	ddr19530600pax
ddr195306les	ddr19530700les
ddr19530620jeur	ddr19530620jeur
ddr19540601jeur	ddr19540601jeur
ddr19540812ill	ddr19540812ill
ddr195409fed	ddr19541000fed
ddr1955cap	ddr19550000cap
ddr1955gro	ddr19550000gro
ddr195501fe	ddr19550100fe
ddr1956pbi	ddr19560000pbi
ddr195601mf	ddr19560100mf
ddr195601tr	ddr19560100tr
ddr19560204ifep	ddr19560204ifep
ddr195608mdf	ddr19560800mdf
ddr195610fed	ddr19561000fed
ddr19561110figlitt	ddr19561110figlitt
ddr195701tr	ddr19570100tr
ddr195705tr_p10	ddr19570500tr_p0010
ddr195705tr_p31	ddr19570500tr_p0031
ddr195706real	ddr19570600real
ddr19570609tlaus	ddr19570609tlaus
ddr195710occ	ddr19571000occ
ddr1958desf	ddr19580000desf
ddr1958qeec	ddr19580000qeec
ddr195804real	ddr19580400real
ddr195906real	ddr19590600real
ddr1959efs	ddr19590000efs
ddr1960ssoc	ddr19600000ssoc
ddr196003tr	ddr19600300tr
ddr196003real	ddr19600300real
ddr196006cce	ddr19600600cce
ddr196006clc	ddr19600700clc
ddr196007fraca	ddr19600700fraca
ddr196008smh	ddr19600800smh
ddr196010cce	ddr19601000cce
ddr1961barllf	ddr19610000barllf
ddr1961csas	ddr19610900csas
ddr1961nme	ddr19610000nme
ddr196107cce	ddr19610700cce
ddr1962tlf	ddr19620000tlf
ddr1962tsvo	ddr19620000tsvo
ddr196204cce	ddr19620400cce
ddr19620623trige	ddr19620623trige
ddr19620625trige	ddr19620625trige
ddr19620626trige	ddr19620626trige
ddr196211prob	ddr19621100prob
ddr196211comeur	ddr19621200comeur
ddr1962jon	ddr19620000jon
ddr1963ansh	ddr19630000ansh
ddr196301assint	ddr19630100assint
ddr1963acr	ddr19630300acr
ddr196304ef	ddr19630400ef
ddr19630510futur	ddr19630510futur
ddr19631025elle	ddr19631025elle
ddr19631116impar	ddr19631116impar
ddr1963basge	ddr19630000basge
ddr1964ansh	ddr19640000ansh
ddr1964sp	ddr19640000sp
ddr1964avs	ddr19640000avs
ddr1964bv	ddr19640000bv
ddr196503btsr	ddr19650300btsr
ddr1966sm	ddr19660000sm
ddr1967jan	ddr19670000jan
ddr1967ec	ddr19670900ec
ddr1968ep	ddr19680000ep
ddr1968basge	ddr19680000basge
ddr196805ef	ddr19680500ef
ddr1969rasmp	ddr19690000rasmp
ddr1969re	ddr19690000re
ddr1969usd	ddr19690000usd
ddr1969ss	ddr19690000ss
ddr1969ecr	ddr19690000ecr
ddr1969aar	ddr19690000aar
ddr19690215pgx	ddr19690215pgx
ddr196904ef	ddr19690400ef
ddr19690414elle	ddr19690414elle
ddr19690927dev	ddr19690927dev
ddr19691004presse	ddr19691004presse
ddr1970livr	ddr19700000livr
ddr197003treje	ddr19700300treje
ddr19700319cons	ddr19700319cons
ddr19700324suis	ddr19700324suis
ddr19700330suis	ddr19700330suis
ddr197005fcz	ddr19700600fcz
ddr197005mc	ddr19700500mc
ddr197006treje	ddr19700600treje
ddr19701015fal	ddr19701015fal
ddr19701115tlaus	ddr19701115tlaus
ddr19701122tlaus	ddr19701122tlaus
ddr197012lo	ddr19701200lo
ddr1971beu	ddr19710000beu
